author,affiliations
"Name(first='Yawen', last='Yang')","School of Software, Tsinghua University"
"Name(first='Shuang', last='Li')","School of Software, Tsinghua University"
"Name(first='Philip S.', last='Yu')",University of Illinois at Chicago
"Name(first='Lijie', last='Wen')","School of Software, Tsinghua University"
"Name(first='Linyang', last='Li')",fudan university
"Name(first='Demin', last='Song')",fudan university
"Name(first='Xipeng', last='Qiu')",fudan university
"Name(first='Shumin', last='Deng')",National University of Singapore
"Name(first='Shengyu', last='Mao')",Zhejiang University
"Name(first='Ningyu', last='Zhang')",Zhejiang University
"Name(first='Bryan', last='Hooi')",National University of Singapore
"Name(first='Christopher', last='Clarke')",University of Michigan
"Name(first='Matthew', last='Hall')",Microsoft
"Name(first='Gaurav', last='Mittal')",Microsoft
"Name(first='Ye', last='Yu')",Microsoft
"Name(first='Sandra', last='Sajeev')",Microsoft
"Name(first='Jason', last='Mars')",University of Michigan
"Name(first='Mei', last='Chen')",Microsoft
"Name(first='Anne', last='Lauscher')",University of Hamburg
"Name(first='Debora', last='Nozza')",Bocconi University
"Name(first='Ehm', last='Miltersen')",Independent researcher
"Name(first='Archie', last='Crowley')",University of south carolina
"Name(first='Dirk', last='Hovy')",Bocconi University
"Name(first='Kaihang', last='Zhang')",Beijing University of Posts and Telecommunications
"Name(first='Kai', last='Shuang')",Beijing University of Posts and Telecommunications
"Name(first='Xinyue', last='Yang')",Beijing University of Posts and Telecommunications
"Name(first='Xuyang', last='Yao')",china telecom research institute
"Name(first='Jinyu', last='Guo')","School of Computer Science, Beijing University of Posts and Telecommunications"
"Name(first='Kexin', last='Yang')",Alibaba Damo Academy
"Name(first='Dayiheng', last='Liu')",Alibaba Damo Academy
"Name(first='Wenqiang', last='Lei')",Unknown; Sichuan University
"Name(first='Baosong', last='Yang')","Alibaba Damo Academy, Alibaba Inc."
"Name(first='Mingfeng', last='Xue')",Sichuan University
"Name(first='Boxing', last='Chen')",huawei
"Name(first='Jun', last='Xie')",Alibaba Damo Academy
"Name(first='Aida', last='Ramezani')",University of Toronto
"Name(first='Yang', last='Xu')",University of Toronto; HARBIN INSTITUTE OF TECHNOLOGY; Southern University of Science and Technology
"Name(first='Longshen', last='Ou')",National University of Singapore
"Name(first='Xichu', last='Ma')",National University of Singapore
"Name(first='Min-Yen', last='Kan')",National University of Singapore
"Name(first='Ye', last='Wang')",National University of Singapore; National University of Defense Technology; Zhejiang University
"Name(first='Xiangpeng', last='Wei')",Alibaba Group
"Name(first='Zhengyuan', last='Liu')","Institute for Infocomm Research, A*STAR"
"Name(first='Jie', last='Lei')","Meta Platforms, Inc"
"Name(first='Tamara', last='Berg')",University of North Carolina Chapel Hill
"Name(first='Mohit', last='Bansal')",University of North Carolina at Chapel Hill
"Name(first='Jian', last='Liu')",Beijing Jiaotong University
"Name(first='Dianbo', last='Sui')","Institute of Automation, Chinese Academy of Sciences"
"Name(first='Kang', last='Liu')","Institute of Automation, Chinese Academy of Sciences; Yangzhou University"
"Name(first='Haoyan', last='Liu')",Beihang university; tencent
"Name(first='Zhe', last='Zhao')",tencent
"Name(first='Ziqiao', last='Ma')",University of Michigan
"Name(first='Jiayi', last='Pan')",University of Michigan at Ann Arbor
"Name(first='Joyce', last='Chai')",University of Michigan
"Name(first='Alessandro', last='Stolfo')",ETH Zurich
"Name(first='Zhijing', last='Jin')",Max Planck Institute & ETH Zurich
"Name(first='Kumar', last='Shridhar')",ETH Zürich
"Name(first='Bernhard', last='Schoelkopf')",Max-Planck Institute for Intelligent Systems
"Name(first='Mrinmaya', last='Sachan')",ETH Zurich
"Name(first='Kun', last='Zhao')",Wuhan University
"Name(first='Bohao', last='Yang')","Department of Computer Science, University of Sheffield"
"Name(first='Chenghua', last='Lin')","Department of Computer Science, University of Sheffield"
"Name(first='Wenge', last='Rong')",Beihang university
"Name(first='Aline', last='Villavicencio')","University of Sheffield, UK"
"Name(first='Xiaohui', last='Cui')",Wuhan University
"Name(first='John', last='Chung')",University of Michigan
"Name(first='Ece', last='Kamar')",Microsoft Research
"Name(first='Saleema', last='Amershi')",Microsoft Research
"Name(first='Ting', last='Jiang')",Beihang university
"Name(first='Deqing', last='Wang')",Beihang university
"Name(first='Fuzhen', last='Zhuang')","Institute of Artificial Intelligence, Beihang University"
"Name(first='Ruobing', last='Xie')","WeChat, Tencent"
"Name(first='Feng', last='Xia')","WeChat Search Application Department, Tencent"
"Name(first='Patrick', last='Fernandes')","Carnegie Mellon University, Instituto de Telecomunicações"
"Name(first='Kayo', last='Yin')",UC Berkeley
"Name(first='Emmy', last='Liu')",Carnegie Mellon University
"Name(first='André', last='Martins')","Unbabel, Instituto de Telecomunicacoes"
"Name(first='Graham', last='Neubig')",Carnegie Mellon University
"Name(first='Ziwei', last='Chen')",Beijing University of Posts and Telecommunications
"Name(first='Linmei', last='Hu')","School of Computer Science & Technology, Beijing Institute of Technology"
"Name(first='Weixin', last='Li')",Beihang university
"Name(first='Yingxia', last='Shao')",Beijing University of Posts and Telecommunications
"Name(first='Liqiang', last='Nie')",Harbin Institute of Technology (Shenzhen)
"Name(first='Ekin', last='Akyurek')",Massachusetts Institute of Technology
"Name(first='Jacob', last='Andreas')",MIT
"Name(first='Jun', last='Sun')",Zhejiang Lab
"Name(first='Shoukang', last='Han')",Zhejiang Lab
"Name(first='Yu-Ping', last='Ruan')",Zhejiang Lab
"Name(first='Xiaoning', last='Zhang')",Zhejiang Lab
"Name(first='Shu-Kai', last='Zheng')",Zhejiang Lab
"Name(first='Yulong', last='Liu')",ZhejiangLab
"Name(first='Yuxin', last='Huang')",Zhejiang Lab
"Name(first='Taihao', last='Li')",ZhejiangLab
"Name(first='Rong', last='Bao')",fudan university
"Name(first='Rui', last='Zheng')",fudan university
"Name(first='Liang', last='Ding')","JD Explore Academy, JD.com Inc. & The University of Sydney"
"Name(first='Qi', last='Zhang')",East China Normal University; Unknown; Microsoft; fudan university; RENMIN UNIVERSITY of CHINA
"Name(first='Dacheng', last='Tao')","School of Computer Science, The University of Sydney"
"Name(first='Jack', last='Hessel')",Allen AI
"Name(first='Ana', last='Marasovic')",University of Utah
"Name(first='Jena D.', last='Hwang')",Allen Institute for AI
"Name(first='Lillian', last='Lee')",Cornell University
"Name(first='Jeff', last='Da')",University of Washington
"Name(first='Rowan', last='Zellers')",OpenAI
"Name(first='Robert', last='Mankoff')",Air Mail and Cartoon Collections
"Name(first='Yejin', last='Choi')",University of Washington
"Name(first='Martijn', last='Bartelds')",University of Groningen
"Name(first='Nay', last='San')",Stanford University
"Name(first='Bradley', last='McDonnell')",University of Hawai‘i at Mānoa
"Name(first='Dan', last='Jurafsky')",Stanford University
"Name(first='Martijn', last='Wieling')",University of Groningen
"Name(first='Jianing', last='Zhou')",University of Illinois at Urbana-Champaign
"Name(first='Ziheng', last='Zeng')",University of Illinois at Urbana-Champaign
"Name(first='Suma', last='Bhat')",University of Illinois at Urbana-Champaign
"Name(first='Caleb', last='Ziems')",Georgia Institute of Technology
"Name(first='William', last='Held')",Georgia Tech
"Name(first='Jingfeng', last='Yang')",Amazon
"Name(first='Jwala', last='Dhamala')",Amazon Alexa AI-NLU
"Name(first='Rahul', last='Gupta')",Amazon.com
"Name(first='Diyi', last='Yang')",Stanford University
"Name(first='Kechi', last='Zhang')",peking university
"Name(first='Zhuo', last='Li')",peking university
"Name(first='Jia', last='Li')",Hong Kong University of Science and Technology; peking university
"Name(first='Ge', last='Li')",Peking Universtiy
"Name(first='Zhi', last='Jin')",peking university
"Name(first='Shachar', last='Don-Yehiya')","The Hebrew University of Jerusalem, IBM Research"
"Name(first='Elad', last='Venezian')",IBM Research
"Name(first='Colin', last='Raffel')",University of North Carolina/Hugging Face
"Name(first='Noam', last='Slonim')",IBM Research
"Name(first='Leshem', last='Choshen')","IBM, Hebrew University Jerusalem Israel"
"Name(first='Runzhe', last='Zhan')",University of Macau
"Name(first='Xuebo', last='Liu')","Harbin Institute of Technology, Shenzhen"
"Name(first='Derek F.', last='Wong')",University of Macau
"Name(first='Cuilian', last='Zhang')",University of Macau
"Name(first='Lidia S.', last='Chao')",University of Macau
"Name(first='Haw-Shiuan', last='Chang')",Amazon.com
"Name(first='Ruei-Yao', last='Sun')",University of Massachusetts Amherst
"Name(first='Kathryn', last='Ricci')","CICS, University of Massachusetts Amherst"
"Name(first='Andrew', last='McCallum')",umass Amherst
"Name(first='Xi', last='Ai')",Chongqing University
"Name(first='Bin', last='Fang')",Chongqing University
"Name(first='Alafate', last='Abulimiti')",INRIA/PSL/ENS
"Name(first='Chloé', last='Clavel')","LTCI, Telecom-Paris, Institut Polytechnique de Paris; Télécom ParisTech and Télécom Paris"
"Name(first='Justine', last='Cassell')",Carnegie Mellon University and Inria Paris
"Name(first='Zijie J.', last='Wang')",Georgia Tech
"Name(first='Evan', last='Montoya')",Georgia Tech
"Name(first='David', last='Munechika')",Georgia Institute of Technology
"Name(first='Haoyang', last='Yang')",Georgia Tech
"Name(first='Benjamin', last='Hoover')",IBM Research; GA Tech
"Name(first='Duen Horng', last='Chau')",Georgia Tech
"Name(first='Arie', last='Cattan')",Bar-Ilan University
"Name(first='Lilach', last='Eden')",IBM Research
"Name(first='Yoav', last='Kantor')",IBM Research
"Name(first='Roy', last='Bar-Haim')",IBM Research
"Name(first='Kevin', last='Pei')",University of Illinois at Urbana-Champaign
"Name(first='Ishan', last='Jindal')",IBM Research
"Name(first='Kevin Chen-Chuan', last='Chang')",University of Illinois at Urbana-Champaign
"Name(first='ChengXiang', last='Zhai')",University of Illinois at Urbana-Champaign; Unknown
"Name(first='Yunyao', last='Li')",Apple
"Name(first='Tharindu Cyril', last='Weerasooriya')",Rochester institute of Technology
"Name(first='Sarah', last='Luger')",Orange Silicon Valley
"Name(first='Saloni', last='Poddar')",Rochester institute of Technology
"Name(first='Ashiqur', last='KhudaBukhsh')",Rochester institute of Technology
"Name(first='Christopher', last='Homan')",Rochester institute of Technology
"Name(first='Neeraj', last='Varshney')",Arizona State University
"Name(first='Chitta', last='Baral')",Arizona State University
"Name(first='Tao', last='Qian')",RENMIN UNIVERSITY of CHINA
"Name(first='Fan', last='Lou')",ByteDance AILAB Speech and Audio
"Name(first='Jiatong', last='Shi')",CMU; Carnegie Mellon University
"Name(first='Yuning', last='Wu')",RENMIN UNIVERSITY of CHINA
"Name(first='Shuai', last='Guo')",RENMIN UNIVERSITY of CHINA
"Name(first='Xiang', last='Yin')",ByteDance
"Name(first='Qin', last='Jin')",RENMIN UNIVERSITY of CHINA
"Name(first='Lingxi', last='Zhang')",RENMIN UNIVERSITY of CHINA
"Name(first='Jing', last='Zhang')",RENMIN UNIVERSITY of CHINA; Samsung Research China Beijing (SRC-B)
"Name(first='Yanling', last='Wang')",RENMIN UNIVERSITY of CHINA
"Name(first='Shulin', last='Cao')",Tsinghua university
"Name(first='Xinmei', last='Huang')",RENMIN UNIVERSITY of CHINA
"Name(first='Cuiping', last='Li')",RENMIN UNIVERSITY of CHINA
"Name(first='Hong', last='Chen')",Unknown; RENMIN UNIVERSITY of CHINA
"Name(first='Juanzi', last='Li')",Tsinghua university
"Name(first='Lennart', last='Wachowiak')",King’s College London
"Name(first='Dagmar', last='Gromann')",University of Vienna
"Name(first='Terne Sasha', last='Thorn Jakobsen')",University of Copenhagen
"Name(first='Laura', last='Cabello')",University of Copenhagen
"Name(first='Anders', last='Søgaard')",University of Copenhagen
"Name(first='Ping', last='Yu')",University at Buffalo
"Name(first='Tianlu', last='Wang')",Meta
"Name(first='Olga', last='Golovneva')",Meta
"Name(first='Badr', last='AlKhamissi')",Meta AI
"Name(first='Siddharth', last='Verma')",Square
"Name(first='Gargi', last='Ghosh')",Facebook
"Name(first='Mona', last='Diab')",George Washington University; Meta Responsible AI
"Name(first='Asli', last='Celikyilmaz')",FAIR @ Meta
"Name(first='Ayyoob', last='Imani')",LMU Munich
"Name(first='Peiqin', last='Lin')",LMU Munich
"Name(first='Amir Hossein', last='Kargaran')","Center for Information and Language Processing, LMU Munich"
"Name(first='Silvia', last='Severini')",Ludwig-Maximilians-Universität
"Name(first='Masoud', last='Jalili Sabet')","Center for Information and Speech Processing, Ludwig Maximilian University of Munich"
"Name(first='Nora', last='Kassner')",Meta AI
"Name(first='Chunlan', last='Ma')",LMU Munich
"Name(first='Helmut', last='Schmid')","CIS, Ludwig-Maximilians-Universitaet"
"Name(first='François', last='Yvon')",ISIR CNRS & Sorbonne UniversitÃ©; ISIR CNRS & Sorbonne Université
"Name(first='Hinrich', last='Schütze')","Center for Information and Language Processing, University of Munich"
"Name(first='Huawen', last='Feng')",South China University Of Technology
"Name(first='Junlong', last='Liu')",South China University Of Technology
"Name(first='Junhao', last='Zheng')",South China University Of Technology
"Name(first='Haibin', last='Chen')",South China University Of Technology
"Name(first='Xichen', last='Shang')",South China University Of Technology
"Name(first='Qianli', last='Ma')",South China University Of Technology
"Name(first='Yimeng', last='Zhuang')",Samsung Research China - Beijing (SRC-B)
"Name(first='Mei', last='Tu')",Samsung Research China - Beijing
"Name(first='Kyuyong', last='Shin')",NAVER Corp.
"Name(first='Hanock', last='Kwak')",NAVER Corp.
"Name(first='Wonjae', last='Kim')",Naver AI Lab
"Name(first='Jisu', last='Jeong')",Naver AI Lab
"Name(first='Seungjae', last='Jung')",Naver R&D Center
"Name(first='Kyungmin', last='Kim')",NAVER
"Name(first='Jung-Woo', last='Ha')",NAVER Cloud AI Lab
"Name(first='Sang-Woo', last='Lee')",NAVER Cloud
"Name(first='Wenzheng', last='Zhao')",Nanjing University
"Name(first='Yuanning', last='Cui')",Nanjing University
"Name(first='Wei', last='Hu')",Nanjing University
"Name(first='Richeek', last='Das')",Indian Institute of Technology Bombay
"Name(first='Sahasra', last='Ranjan')",Indian Institute of Technology Bombay
"Name(first='Shreya', last='Pathak')","Indian Institute of Technology, Bombay"
"Name(first='Preethi', last='Jyothi')",Indian Institute of Technology Bombay
"Name(first='Liming', last='Wang')","Institute of Information Engineering, Chinese Academy of Sciences; University of Illinois, Urbana Champaign"
"Name(first='Mark', last='Hasegawa-Johnson')",University of Illinois; University of Illinois Urbana-Champaign
"Name(first='Chang', last='Yoo')",KAIST
"Name(first='Batu', last='Ozturkler')",Stanford University
"Name(first='Nikolay', last='Malkin')",Mila
"Name(first='Zhen', last='Wang')",The Ohio State University
"Name(first='Nebojsa', last='Jojic')",Microsoft Research
"Name(first='Iftitahu', last='Nimah')","Eindhoven University of Technology, BRIN Indonesia"
"Name(first='Meng', last='Fang')",University of Liverpool
"Name(first='Vlado', last='Menkovski')",Eindhoven University of Technology
"Name(first='Mykola', last='Pechenizkiy')",TU Eindhoven
"Name(first='Ang', last='Lv')",RENMIN UNIVERSITY of CHINA
"Name(first='Jinpeng', last='Li')","Institute of Computer Science and Technology, Peking University; HwaMei Hospital, University of Chinese Academy of Sciences"
"Name(first='Yuhan', last='Chen')",RENMIN UNIVERSITY of CHINA
"Name(first='Gao', last='Xing')",alibaba
"Name(first='Ji', last='Zhang')",Alibaba Group
"Name(first='Rui', last='Yan')",RENMIN UNIVERSITY of CHINA
"Name(first='Qika', last='Lin')",Xi’an Jiaotong University
"Name(first='Jun', last='Liu')",Xi’an Jiaotong University; Unknown
"Name(first='Rui', last='Mao')",Ruimao Tech
"Name(first='Fangzhi', last='Xu')",Xi’an Jiaotong University
"Name(first='Erik', last='Cambria')",Nanyang Technological University
"Name(first='Yongjing', last='Yin')",Westlake University
"Name(first='Jiali', last='Zeng')","Pattern Recognition Center, WeChat AI, Tencent Inc, Beijing, China"
"Name(first='Yafu', last='Li')",Westlake University
"Name(first='Fandong', last='Meng')","WeChat AI, Tencent"
"Name(first='Jie', last='Zhou')",Tencent Inc.; fudan university
"Name(first='Yue', last='Zhang')","Westlake University; School of Engineering, Westlake University and Institute of Advanced Technology, Westlake Institute for Advanced Study; baidu; Soochow University; Michigan State Universtiy"
"Name(first='Shengming', last='Yin')",University of Science and Technology of China
"Name(first='Chenfei', last='Wu')","No. 5, Danling street"
"Name(first='Huan', last='Yang')",Microsoft Research
"Name(first='Jianfeng', last='Wang')",Microsoft
"Name(first='Xiaodong', last='Wang')",Microsoft
"Name(first='Minheng', last='Ni')",Microsoft Research
"Name(first='Zhengyuan', last='Yang')",Microsoft
"Name(first='Linjie', last='Li')",Microsoft
"Name(first='Shuguang', last='Liu')",Microsoft.com
"Name(first='Fan', last='Yang')",CASIA; Microsoft Research Asia; Meituan
"Name(first='Jianlong', last='Fu')",MSRA
"Name(first='Ming', last='Gong')","STCA Search & Distribution Group, Microsoft (China)"
"Name(first='Lijuan', last='Wang')",Microsoft
"Name(first='Zicheng', last='Liu')",Microsoft
"Name(first='Houqiang', last='Li')",University of Science and Technology of China
"Name(first='Nan', last='Duan')",Microsoft Research Asia
"Name(first='Xiang', last='Yue')",The Ohio State University
"Name(first='Huseyin', last='Inan')",Microsoft Research
"Name(first='Xuechen', last='Li')",Stanford University
"Name(first='Girish', last='Kumar')","University of California, Davis"
"Name(first='Julia', last='McAnallen')",Microsoft
"Name(first='Hoda', last='Shajari')",Microsoft
"Name(first='Huan', last='Sun')",The Ohio State University
"Name(first='David', last='Levitan')",Microsoft
"Name(first='Robert', last='Sim')",Microsoft Research
"Name(first='Yangyi', last='Chen')",UIUC
"Name(first='Lifan', last='Yuan')",Huazhong University of Science and Technology
"Name(first='Ganqu', last='Cui')",Tsinghua university
"Name(first='Zhiyuan', last='Liu')",Tsinghua university
"Name(first='Heng', last='Ji')",Unknown; University of Illinois at Urbana-Champaign and Amazon (Amazon Scholar)
"Name(first='Yu', last='Li')",columbia university; Beijing Jiaotong University
"Name(first='Baolin', last='Peng')",Tencent AI LAB
"Name(first='Pengcheng', last='He')",Microsoft
"Name(first='Michel', last='Galley')",Microsoft Research
"Name(first='Zhou', last='Yu')",columbia university
"Name(first='Jianfeng', last='Gao')","Microsoft Research, Redmond"
"Name(first='Wang', last='Jing')",Institute for Infocomm Research/Nanyang Technological University
"Name(first='Aixin', last='Sun')",Nanyang Technological University
"Name(first='Hao', last='Zhang')",Dalian university of technology; Huawei International; HARBIN INSTITUTE OF TECHNOLOGY; Google Research; TU Darmstadt
"Name(first='Xiaoli', last='Li')",Institute for Infocomm Research/Nanyang Technological University
"Name(first='Itay', last='Levy')",Tel Aviv University
"Name(first='Ben', last='Bogin')",Tel Aviv University
"Name(first='Jonathan', last='Berant')",Tel Aviv University and AI2
"Name(first='Zhiyong', last='Wu')",Shanghai AI Lab
"Name(first='Yaoxiang', last='Wang')",Xiamen University
"Name(first='Jiacheng', last='Ye')",fudan university
"Name(first='Lingpeng', last='Kong')",The University of Hong Kong
"Name(first='Clara', last='Meister')",Unknown; ETH Zurich
"Name(first='Tiago', last='Pimentel')",Unknown; University of Cambridge
"Name(first='Luca', last='Malagutti')",Unknown; ETH Zurich
"Name(first='Ethan', last='Wilcox')",ETH Zürich
"Name(first='Ryan', last='Cotterell')",ETH Zürich; Unknown
"Name(first='Jianfei', last='Yu')",Nanjing University of Science and Technology
"Name(first='Qiankun', last='Zhao')",Nanjing University of Science and Technology
"Name(first='Rui', last='Xia')",Nanjing University of Science and Technology
"Name(first='Siru', last='Ouyang')",University of Illinois Urbana-Champaign
"Name(first='Jiaao', last='Chen')",Georgia Institute of Technology
"Name(first='Jiawei', last='Han')",UIUC
"Name(first='Yuan', last='Chen')",yuanchen@gdufs.edu.cn
"Name(first='Xia', last='Li')",Guangdong University of Foreign Studies
"Name(first='Myra', last='Cheng')",Stanford University
"Name(first='Esin', last='Durmus')",Stanford University
"Name(first='Yawen', last='Ouyang')","National Key Laboratory for Novel Software Technology, Nanjing University"
"Name(first='Yongchang', last='Cao')",Nanjing University
"Name(first='Yuan', last='Gao')",Nanjing University
"Name(first='Zhen', last='Wu')",Nanjing University
"Name(first='Jianbing', last='Zhang')",Nanjing University
"Name(first='Xinyu', last='Dai')","National Key Laboratory for Novel Software Technology, Nanjing University"
"Name(first='Konstantin', last='Yakovlev')",Huawei Noah’s Ark Lab
"Name(first='Alexander', last='Podolskiy')",Huawei Noah’s Ark
"Name(first='Andrey', last='Bout')",Huawei Noah’s Ark Lab
"Name(first='Sergey', last='Nikolenko')",St. Petersburg Department of the Steklov Institute of Mathematics of the RAS
"Name(first='Irina', last='Piontkovskaya')",Huawei Noah’s Ark Lab
"Name(first='Emanuele', last='Bugliarello')",University of Copenhagen
"Name(first='Laurent', last='Sartran')",DeepMind
"Name(first='Aishwarya', last='Agrawal')","University of Montreal, Mila, DeepMind"
"Name(first='Lisa Anne', last='Hendricks')",DeepMind
"Name(first='Aida', last='Nematzadeh')",DeepMind
"Name(first='Sunjae', last='Kwon')",The University of Massachusetts Amherst
"Name(first='Rishabh', last='Garodia')",University of Massachusetts Amherst
"Name(first='Minhwa', last='Lee')",University of Massachusetts Amherst
"Name(first='Zhichao', last='Yang')","University of Massachusetts; University of Massachusetts, Amherst"
"Name(first='Hong', last='Yu')","columbia university; University of Massachusetts, Lowell; Apple Inc."
"Name(first='Kaixin', last='Ma')",Carnegie Mellon University
"Name(first='Yu', last='Zhang')",Southeast University; University of Illinois at Urbana-Champaign; HARBIN INSTITUTE OF TECHNOLOGY; Amazon.com
"Name(first='Xiaodong', last='Liu')",Microsoft Research
"Name(first='Eric', last='Nyberg')",Carnegie Mellon University
"Name(first='Wenya', last='Wang')",University of Washington
"Name(first='Vivek', last='Srikumar')",University of Utah
"Name(first='Hannaneh', last='Hajishirzi')",University of Washington
"Name(first='Noah A.', last='Smith')",University of Washington
"Name(first='Andre', last='He')","University of California, Berkeley"
"Name(first='Nicholas', last='Tomlin')",UC Berkeley
"Name(first='Dan', last='Klein')",UC Berkeley / Microsoft
"Name(first='Menglong', last='Lu')",National University of Defense Technology
"Name(first='Zhen', last='Huang')",National University of Defense Technology
"Name(first='Yunxiang', last='Zhao')",Beijing Institute of Biotechnology
"Name(first='Zhiliang', last='Tian')",National University of Defense Technology
