author_id,author_name,anci_score,cagr_score,linear_trend_score,pqi_score
10000157,Cuong Xuan Chu,0.0,,0.0,0.0
10007273,Qiaolin Xia,0.0,,0.0,0.0
10017193,Aiwei Liu,0.0,,0.0,0.0
10033622,S. Branavan,0.0,,0.0,0.0
10034341,Yixuan Cao,0.0,,0.0,0.0
10035476,Rongmei Lin,0.0,,0.0,0.0
100466830,Zhaojiang Lin,0.0,,0.0,0.0
100468503,Zhengzhong Liu,0.0,,0.0,0.0
100472210,Daichi Haraguchi,0.0,,0.0,0.0
100506648,Anshul Nasery,0.0,,0.0,0.0
100508901,Robert Wolfe,0.0,,0.0,0.0
100516590,Peihao Zhu,0.0,,0.0,0.0
100519532,Sathwik Madhusudhan,0.0,,0.0,0.0
100520099,Heyang Er,0.0,,0.0,0.0
100525940,Daniel McFarland,0.0,,0.0,0.0
100537432,Hao He,0.0,,0.0,0.0
10054744,Alena Fenogenova,0.0,,0.0,0.0
100576967,Ying Liu,0.0,,0.0,0.0
100612966,M. Valko,0.0,,0.0,0.0
100627129,Georgios Pantazopoulos,0.0,,0.0,0.0
100653935,Mojtaba Komeili,0.0,,0.0,0.0
100664938,Olga Golovneva,0.0,,0.0,0.0
100762516,Garrett Tanzer,0.0,,0.0,0.0
100781843,Marie-Francine Moens,0.0,,0.0,0.0
100784405,Fahime Same,0.0,,0.0,0.0
100797192,Ana-Maria Cretu,0.0,,0.0,0.0
10080270,John Makhoul,0.0,,0.0,0.0
100811091,Jason Lee,0.0,,0.0,0.0
100832735,Ahmed Masry,0.0,,0.0,0.0
100894223,Prashan Wanigasekara,0.0,,0.0,0.0
10089460,Vivek Gupta,0.0,,0.0,0.0
100896506,Yun Zhu,0.0,,0.0,0.0
100917154,Angelo Basile,0.0,,0.0,0.0
100967159,Dhruv Gelda,0.0,,0.0,0.0
100969823,Masoumeh Aminzadeh,0.0,,0.0,0.0
100984698,Yada Pruksachatkun,0.0,,0.0,0.0
10099514,Zhilin Liao,0.0,,0.0,0.0
100996634,Ying Zhang,0.0,,0.0,0.0
10109293,Seniz Demir,0.0,,0.0,0.0
101098891,Serguei Barannikov,0.0,,0.0,0.0
10111751,Tatevik Hakobyan,0.0,,0.0,0.0
101161623,Jia Qing Tan,0.0,,0.0,0.0
101166098,Jann Weinand,0.0,,0.0,0.0
101180162,Walelign Tewabe Sewunetie,0.0,,0.0,0.0
101193275,Tianze Luo,0.0,,0.0,0.0
10119770,Zed Sehyr,0.0,,0.0,0.0
101210026,Anirudh Ravula,0.0,,0.0,0.0
101247384,Mahdis Mahdieh,0.0,,0.0,0.0
10127337,Vahid Nia,0.0,,0.0,0.0
101285939,Tomoya Machide,0.0,,0.0,0.0
101333187,Shohei Iida,0.0,,0.0,0.0
10135862,Angelo Ziletti,0.0,,0.0,0.0
10136905,Cheonbok Park,0.0,,0.0,0.0
101371510,Zhexin Zhang,0.0,,0.0,0.0
101433524,G. Kranthikiran,0.0,,0.0,0.0
10144804,Boda Lin,0.0,,0.0,0.0
101486331,Mingyang Wan,0.0,,0.0,0.0
101513478,Rida Qadri,0.0,,0.0,0.0
101531362,Nick McKenna,0.0,,0.0,0.0
101568984,Zejiang Shen,0.0,,0.0,0.0
